metodo,nome_sequencia,fator_ruido,quantidade_observacoes,n,media_ns,desvio_padrao_ns,minimo_ns,q1_ns,mediana_ns,q3_ns,p95_ns,maximo_ns,media_ms,mediana_ms,q1_ms,q3_ms,p95_ms
espacial_com_abstencao,inspecao_com_saltos,1.25,6,1000,4764347.799,209617.67521232573,4334120,4608090.0,4737815.5,4896230.5,5161253.7,5450597,4.764347798999999,4.7378155,4.60809,4.8962305,5.1612537000000005
espacial_com_abstencao,inspecao_com_saltos,1.5,6,1000,4792845.626,210108.35053363818,4303012,4637964.5,4778648.5,4925860.25,5168841.8,5687765,4.792845626,4.7786485,4.6379645,4.92586025,5.1688418
espacial_com_abstencao,inspecao_com_saltos,2.0,6,1000,4766504.858,222561.20013309747,4342000,4616028.0,4753593.5,4885888.75,5097117.6,7684210,4.766504858,4.7535935,4.616028,4.88588875,5.0971176
espacial_com_abstencao,troca_central_longa,0.5,6,1000,4798444.887,223597.33348537041,4377223,4653473.0,4768518.0,4908494.25,5143519.05,7156957,4.7984448870000005,4.768518,4.653473,4.90849425,5.14351905
espacial_com_abstencao,troca_central_longa,0.75,6,1000,4836322.711,366472.03565881186,4361205,4651510.75,4778420.0,4945711.25,5247907.05,11868795,4.836322711,4.77842,4.65151075,4.94571125,5.24790705
espacial_com_abstencao,troca_central_longa,1.0,6,1000,4806782.676,311758.5495375013,4334943,4624890.5,4766767.5,4922865.25,5233238.6,8702479,4.806782676,4.7667675,4.6248905,4.92286525,5.2332386
espacial_com_abstencao,troca_central_longa,1.25,6,1000,4782183.298,368416.2587158568,4327695,4592297.0,4729342.0,4894876.75,5191947.3,10065697,4.7821832980000005,4.729342,4.592297,4.89487675,5.1919473
espacial_com_abstencao,troca_central_longa,1.5,6,1000,4727646.763,381260.06269539864,4295137,4547842.0,4667908.5,4814976.5,5137604.35,10966283,4.727646763,4.6679085,4.547842,4.8149765,5.137604349999999
espacial_com_abstencao,troca_central_longa,2.0,6,1000,4597099.46,150029.26347909786,4307153,4492125.0,4580086.5,4683422.25,4864168.65,5350738,4.59709946,4.5800865,4.492125,4.68342225,4.864168650000001
forward,circuito_antihorario,0.5,6,1000,5208447.998,199774.38137675828,4760473,5056357.75,5196588.5,5340069.25,5565403.95,5960048,5.208447998,5.1965885,5.05635775,5.34006925,5.56540395
forward,circuito_antihorario,0.75,6,1000,5233149.321,196963.47585778404,4748925,5089758.75,5218748.0,5352747.25,5577897.35,6158071,5.233149321000001,5.218748,5.08975875,5.35274725,5.57789735
forward,circuito_antihorario,1.0,6,1000,5242915.441,207379.81369642317,4705548,5099622.5,5228413.5,5359429.75,5625386.85,6418401,5.242915441,5.2284135,5.0996225,5.35942975,5.62538685
forward,circuito_antihorario,1.25,6,1000,5153580.319,261177.9778949415,4666072,5010492.0,5132718.0,5263261.0,5491586.95,10617059,5.1535803190000005,5.132718,5.010492,5.263261,5.49158695
forward,circuito_antihorario,1.5,6,1000,5101768.585,253715.11577613532,4563511,4962509.25,5079094.5,5216032.25,5444709.2,8936402,5.101768585,5.0790945,4.96250925,5.21603225,5.4447092
forward,circuito_antihorario,2.0,6,1000,5094694.117,195529.83410293603,4646432,4946385.5,5074445.5,5223297.5,5452586.75,5817949,5.0946941169999995,5.0744455,4.9463855,5.2232975,5.45258675
forward,circuito_horario,0.5,6,1000,5330064.811,593290.504470621,4717506,5058768.75,5236460.5,5419940.75,5885072.999999999,11988079,5.330064811,5.2364605,5.05876875,5.41994075,5.885072999999999
forward,circuito_horario,0.75,6,1000,5261489.937,439289.7964365872,4699198,5097435.25,5243293.5,5373464.25,5603531.15,16277181,5.261489937,5.2432935,5.09743525,5.37346425,5.60353115
forward,circuito_horario,1.0,6,1000,5207209.352,207669.81694439796,4789286,5056396.5,5188009.5,5330095.25,5539592.85,6825393,5.207209352,5.1880095,5.0563965,5.33009525,5.53959285
forward,circuito_horario,1.25,6,1000,5226109.856,196224.20216125518,4779372,5082849.0,5209908.5,5360266.75,5561932.25,5940401,5.226109856,5.2099085,5.082849,5.36026675,5.56193225
forward,circuito_horario,1.5,6,1000,5173655.01,184128.8288311869,4727693,5042767.5,5163246.0,5289533.25,5500846.7,5904003,5.17365501,5.163246,5.0427675,5.28953325,5.5008467
forward,circuito_horario,2.0,6,1000,5206035.278,288346.6562577616,4708914,5056689.5,5179103.0,5311630.0,5535458.1,11004100,5.206035278,5.179103,5.0566895,5.31163,5.5354581
forward,inspecao_com_saltos,0.5,6,1000,5095610.715,511938.6962529372,4560577,4866986.75,5006055.0,5169431.75,5599954.249999999,10070139,5.095610715,5.006055,4.86698675,5.16943175,5.599954249999999
forward,inspecao_com_saltos,0.75,6,1000,4959072.964,355429.69971828297,4540055,4790524.0,4915581.5,5061622.25,5306624.6,11851497,4.959072964,4.9155815,4.790524,5.06162225,5.306624599999999
forward,inspecao_com_saltos,1.0,6,1000,4895455.143,197631.2366622061,4513538,4749757.75,4872475.0,5012729.25,5240006.75,6080763,4.895455143,4.872475,4.74975775,5.01272925,5.24000675
forward,inspecao_com_saltos,1.25,6,1000,5022721.792,208252.65820876323,4618138,4870079.5,5005894.0,5160050.5,5404362.15,5837593,5.0227217920000005,5.005894,4.8700795,5.1600505,5.404362150000001
forward,inspecao_com_saltos,1.5,6,1000,5046011.419,217801.64519540552,4522657,4889383.25,5032663.0,5193480.5,5420139.1,5859517,5.046011419,5.032663,4.88938325,5.1934805,5.420139099999999
forward,inspecao_com_saltos,2.0,6,1000,5011571.246,209019.89417207902,4570441,4863524.5,4990336.5,5145000.5,5406779.7,5778978,5.011571246,4.9903365,4.8635245,5.1450005,5.4067797
forward,troca_central_longa,0.5,6,1000,5060168.56,222878.72765967934,4580194,4906896.25,5034104.0,5182376.75,5434691.3,7017833,5.060168559999999,5.034104,4.90689625,5.18237675,5.4346913
